gatherdate,strike,expiry,timevalue,gexp,dexp,vexp,cexp,ccash,pcash,call_volume,put_volume,call_oi,put_oi
2025-04-02 10:09:20,452.0,2025-04-02,0.001984126984126984,-2030033.7452508095,35389.90706369514,-836.3644437829248,10.170957647155301,8195800.000000002,430946600.0,50.0,540.0,43.0,2261.0
2025-04-02 10:09:20,452.0,2025-04-08,0.023809523809523808,-156956.02153967097,5523.804430197422,-64.29437289190724,-131.61479866300587,0.0,11626600.000000002,0.0,1.0,0.0,61.0
2025-04-02 10:09:20,452.0,2025-04-07,0.01984126984126984,-674434.5302690659,20735.666303661157,-276.68429230593017,-411.651821914739,0.0,48793600.00000001,0.0,11.0,0.0,256.0
2025-04-02 10:09:20,452.0,2025-04-04,0.007936507936507936,-2363984.063787364,52884.75351750717,-967.5738680923213,-419.743905715104,0.0,170777600.00000003,0.0,117.0,0.0,896.0
2025-04-02 10:09:20,452.0,2025-04-30,0.1111111111111111,-449993.3397893217,39063.24618857159,-202.75573864653774,-3547.093531125451,2096600.0000000005,49746600.00000001,13.0,28.0,11.0,261.0
2025-04-02 10:09:20,452.0,2025-04-03,0.003968253968253968,-1833099.689719842,33672.33464991077,-790.7441747623982,-64.3086389815439,3812000.000000001,174589600.00000003,2.0,234.0,20.0,916.0
2025-04-02 10:09:20,452.0,2025-04-09,0.027777777777777776,-978063.4130401624,39050.747432118835,-399.7474199430029,-1085.7131687952517,0.0,74905800.00000001,0.0,124.0,0.0,393.0
2025-04-02 10:09:20,453.0,2025-04-09,0.027777777777777776,-632840.8043581261,25735.265529110337,-244.74371980466833,-715.511195234547,0.0,44427600.0,0.0,276.0,0.0,246.0
2025-04-02 10:09:20,453.0,2025-04-03,0.003968253968253968,-3306651.288050831,58028.77550030816,-1291.6618046554008,-122.06090962065844,5237400.0,262050600.00000006,16.0,101.0,29.0,1451.0
2025-04-02 10:09:20,453.0,2025-04-30,0.1111111111111111,82645.45021060566,49511.19684826938,-134.14009570834173,3300.8753206616466,21852600.000000004,12822600.000000004,123.0,10.0,121.0,71.0
2025-04-02 10:09:20,453.0,2025-04-17,0.05952380952380952,-7734829.773275896,589265.3629969523,-3463.086660249706,-23478.28703634924,52193400.000000015,697116000.0000001,93.0,1335.0,289.0,3860.0
2025-04-02 10:09:20,453.0,2025-04-04,0.007936507936507936,-3672355.806875541,145728.06676521065,-1685.73878582729,-325.33426359375756,22575000.000000007,256632600.0,19.0,53.0,125.0,1421.0
2025-04-02 10:09:20,453.0,2025-04-08,0.023809523809523808,-373210.57733160426,13178.406932280895,-144.77561014502257,-314.0010507217633,0.0,25103400.0,0.0,105.0,0.0,139.0
2025-04-02 10:09:20,453.0,2025-04-02,0.001984126984126984,-5591182.081892072,41901.2656202739,-2180.3995170461344,-83.11132505736316,0.0,940745400.0,0.0,605.0,0.0,5209.0
2025-04-02 10:09:20,453.0,2025-04-11,0.03571428571428571,-1657078.329741272,78817.17237836214,-639.5295509510322,-2818.349053226719,0.0,123891600.00000003,0.0,1.0,0.0,686.0
2025-04-02 10:09:20,453.0,2025-04-10,0.031746031746031744,-149184.79887574553,6634.755052141493,-57.61371243716678,-210.85106208044178,0.0,10836000.000000002,0.0,106.0,0.0,60.0
2025-04-02 10:09:20,453.0,2025-04-07,0.01984126984126984,-1623909.1331398934,51537.37372661808,-630.21625867426,-1023.144907351223,0.0,106554000.00000003,0.0,515.0,0.0,590.0
2025-04-02 10:09:20,454.0,2025-04-17,0.05952380952380952,-928819.7023937535,55694.19496211137,-339.7557601302937,-3322.401573948825,0.0,71993200.00000001,0.0,16.0,0.0,422.0
2025-04-02 10:09:20,454.0,2025-04-08,0.023809523809523808,-591497.4041378824,21617.723623112164,-216.32911663743147,-515.0872474003819,0.0,36337800.00000001,0.0,3.0,0.0,213.0
2025-04-02 10:09:20,454.0,2025-04-11,0.03571428571428571,-3483544.8034556694,170764.5410273106,-1266.8897829236403,-6106.2376537915725,0.0,241057800.00000006,0.0,96.0,0.0,1413.0
2025-04-02 10:09:20,454.0,2025-04-02,0.001984126984126984,-2289753.254835023,34022.889594574124,-908.6870521203132,-4.9046354898427715,6141600.000000001,306909400.0,29.0,1345.0,36.0,1799.0
2025-04-02 10:09:20,454.0,2025-04-04,0.007936507936507936,-3653875.7022939767,125819.01332838097,-1505.0246047525575,-469.81089232664397,13648000.000000004,220585800.0,14.0,31.0,80.0,1293.0
2025-04-02 10:09:20,454.0,2025-04-09,0.027777777777777776,-350617.3437245797,14218.445191549104,-128.06686062005974,-395.31323543442574,0.0,22348600.0,0.0,24.0,0.0,131.0
2025-04-02 10:09:20,454.0,2025-04-03,0.003968253968253968,-2010409.1978406634,28420.736878284308,-737.6698337875372,-112.76517084870811,0.0,131362000.00000003,0.0,38.0,0.0,770.0
2025-04-02 10:09:20,454.0,2025-04-30,0.1111111111111111,-438458.02534599835,34001.01995086914,-163.01535175904058,-3794.0315566370446,0.0,40432200.00000001,0.0,20.0,0.0,237.0
2025-04-02 10:09:20,454.0,2025-04-10,0.031746031746031744,-222134.12576991256,10104.756741829124,-80.89262257530876,-321.12843053123675,0.0,14842200.000000004,0.0,89.0,0.0,87.0
2025-04-02 10:09:20,454.0,2025-04-07,0.01984126984126984,-858885.9102924609,27461.30413135334,-314.6323435870959,-545.1776603171489,0.0,50838800.000000015,0.0,30.0,0.0,298.0
2025-04-02 10:09:20,455.0,2025-04-03,0.003968253968253968,-6430036.610671612,179172.24936378395,-2218.4607574271545,-23.056548812356255,29550400.000000007,356210800.0,7.0,573.0,184.0,2218.0
