gatherdate,strike,expiry,timevalue,gexp,dexp,vexp,cexp,ccash,pcash,call_volume,put_volume,call_oi,put_oi
2025-03-04 10:20:19,184.0,2025-03-10,0.023809523809523808,-1915.2772782564002,57.610793248057355,-1.9360611241991765,-1.3725381349867392,0.0,1188000.0000000007,0.0,6.0,0.0,6.0
2025-03-04 10:20:19,184.0,2025-03-07,0.011904761904761904,-218831.47557465982,5099.3850707148995,-221.40911363332762,-60.713595815147436,0.0,185526000.0000001,0.0,1677.0,0.0,937.0
2025-03-04 10:20:19,184.0,2025-03-21,0.06746031746031746,-257942.43307821467,14713.513644543791,-260.3408426746895,-951.5450640461908,396000.00000000023,116820000.00000007,0.0,1.0,2.0,590.0
2025-03-04 10:20:19,184.0,2025-03-31,0.10714285714285714,-35073.52803806763,2336.128966470672,-35.249581487144674,-251.3119402851705,0.0,15840000.00000001,0.0,5.0,0.0,80.0
2025-03-04 10:20:19,185.0,2025-03-13,0.03571428571428571,-1721.508161918302,68.78546287490737,-1.6420535164889603,-2.459420728327613,0.0,752000.0000000005,0.0,2.0,0.0,4.0
2025-03-04 10:20:19,185.0,2025-03-07,0.011904761904761904,-237373.09900950885,5463.5866210090435,-227.51090350323554,-65.0502220924694,0.0,169764000.0000001,0.0,101.0,0.0,903.0
2025-03-04 10:20:19,185.0,2025-03-14,0.03968253968253968,-187108.69191499366,7894.056401169761,-178.3774951442783,-313.66444280551116,0.0,79900000.00000004,0.0,74.0,0.0,425.0
2025-03-04 10:20:19,185.0,2025-03-21,0.06746031746031746,-15813619.0708109,902811.8446176563,-15107.027450678175,-58948.44654443967,18048000.00000001,6373012000.000005,13.0,481.0,96.0,33899.0
2025-03-04 10:20:19,185.0,2025-03-28,0.09523809523809523,-131290.9411760311,8477.960501378939,-124.87116498908304,-810.3065105549031,0.0,53016000.00000004,0.0,49.0,0.0,282.0
2025-03-04 10:20:19,185.0,2025-03-06,0.007936507936507936,480.5811431964761,170.4933052113481,-0.4402091364653732,1.3530581531043233,188000.00000000012,0.0,1.0,0.0,1.0,0.0
2025-03-04 10:20:19,185.0,2025-03-10,0.023809523809523808,-1745.1019735506857,51.437358955435535,-1.6718158108416414,-1.2254658252529096,0.0,940000.0000000006,0.0,0.0,0.0,5.0
2025-03-04 10:20:19,185.0,2025-03-31,0.10714285714285714,-733536.0074027727,53593.198956168315,-721.1331876907093,-4812.405813428644,5264000.000000003,302492000.0000002,2.0,1.0,28.0,1609.0
2025-03-04 10:20:19,185.0,2025-04-04,0.12301587301587301,-52596.72721435578,4047.2865878352472,-50.753949674732276,-461.5502807880511,188000.00000000012,21808000.00000001,0.0,1.0,1.0,116.0
2025-03-04 10:20:19,185.0,2025-04-11,0.15079365079365079,-33501.69733113625,2684.197156229036,-31.906716257396006,-407.114367880499,0.0,14100000.00000001,0.0,4.0,0.0,75.0
2025-03-04 10:20:19,185.0,2025-04-17,0.1746031746031746,-2141256.7934247684,192087.78573112952,-2091.8920326517286,-30166.345353327102,12596000.00000001,927216000.0000006,1.0,1251.0,67.0,4932.0
2025-03-04 10:20:19,185.0,2025-03-04,0.001984126984126984,-21.874766407351032,0.17811545379234806,-0.02109334657803533,-0.00035323035745081434,0.0,376000.00000000023,0.0,1.0,0.0,2.0
2025-03-04 10:20:19,186.0,2025-03-11,0.027777777777777776,-1277.1731760052394,42.41262595080656,-1.1540854260522921,-1.1790789061685523,0.0,534000.0000000003,0.0,0.0,0.0,3.0
2025-03-04 10:20:19,186.0,2025-03-31,0.10714285714285714,-176239.0802255899,12387.515767475395,-160.93016112572323,-1208.690723541966,712000.0000000005,64614000.000000045,1.0,15.0,4.0,363.0
2025-03-04 10:20:19,186.0,2025-03-07,0.011904761904761904,-100901.80152971492,2294.4599430837943,-91.35577970537597,-27.318343610465668,0.0,60520000.00000004,0.0,788.0,0.0,340.0
2025-03-04 10:20:19,186.0,2025-03-04,0.001984126984126984,-1.2628291751082515e-09,9.866873873446525e-12,-1.1501476107313793e-12,-1.9567613004910138e-14,0.0,0.0,0.0,0.0,0.0,1e-10
2025-03-04 10:20:19,186.0,2025-04-17,0.1746031746031746,-182459.76060077222,15749.110350901376,-164.54047536879963,-2768.4994487299177,0.0,71200000.00000004,0.0,15.0,0.0,400.0
2025-03-04 10:20:19,186.0,2025-03-21,0.06746031746031746,-1661019.5062549997,93134.69931278561,-1493.6038670074122,-6255.772875839393,356000.00000000023,593630000.0000004,0.0,41.0,2.0,3335.0
2025-03-04 10:20:19,187.0,2025-03-21,0.06746031746031746,-9203009.610826416,516614.40049876866,-7795.701047357361,-34745.41486194386,1512000.0000000012,2912448000.0000024,8.0,10.0,9.0,17336.0
2025-03-04 10:20:19,187.0,2025-03-07,0.011904761904761904,-10997.528045977653,251.6908493260054,-9.373561904238304,-2.996715410517018,0.0,5376000.000000004,0.0,19.0,0.0,32.0
2025-03-04 10:20:19,187.0,2025-03-04,0.001984126984126984,-146.93787917398603,1.0994958665936647,-0.1260041053286882,-0.0021804887371479754,0.0,1680000.0000000012,0.0,180.0,0.0,10.0
2025-03-04 10:20:19,187.0,2025-03-31,0.10714285714285714,-480245.7027342585,32878.91843640602,-407.59719756237655,-3507.873976234225,168000.00000000012,156744000.00000012,1.0,53.0,1.0,933.0
2025-03-04 10:20:19,187.0,2025-04-17,0.1746031746031746,-77287.35867222986,6650.440735773349,-65.8058650267805,-1169.0697855564051,0.0,27216000.00000002,0.0,12.0,0.0,162.0
