gatherdate,strike,expiry,timevalue,gexp,dexp,vexp,cexp,ccash,pcash,call_volume,put_volume,call_oi,put_oi
2025-02-20 11:12:24,23.0,2025-02-21,0.003968253968253968,681.6854618727918,5008.107860081717,-4.011232281906178,19.860730896807535,22862800.000000004,3373200.000000001,25.0,1.0,122.0,18.0
2025-02-20 11:12:24,23.0,2025-03-21,0.11507936507936507,12.003982785034083,829.4321417583648,-1.556259730379298,91.71792287046256,3748000.000000001,4685000.000000001,1.0,1.0,20.0,25.0
2025-02-20 11:12:24,24.0,2025-02-28,0.031746031746031744,-150.27649564022474,28.75828736074237,-0.7180842999895641,-0.9138262604892436,0.0,2306200.0000000005,0.0,4.0,0.0,13.0
2025-02-20 11:12:24,24.0,2025-03-21,0.11507936507936507,-77.97104578454949,27.545624818307616,-0.2906154115144189,-3.183699383738592,0.0,1064400.0000000002,3.0,1.0,1e-10,6.0
2025-02-20 11:12:24,25.0,2025-03-07,0.05952380952380952,-200.19616165420868,32.133626671923444,-0.9141846008829441,-1.9166369639553165,0.0,2845800.0000000005,0.0,1.0,1e-10,17.0
2025-02-20 11:12:24,25.0,2025-03-14,0.0873015873015873,-231.0713017576392,56.63387040335418,-0.9550696619599919,-4.96008620897578,0.0,2678400.0000000005,0.0,1.0,0.0,16.0
2025-02-20 11:12:24,25.0,2025-02-28,0.031746031746031744,-197.83991288639837,87.21768958088822,-0.5276159331482136,-2.771634175898174,0.0,2511000.0000000005,0.0,0.0,0.0,15.0
2025-02-20 11:12:24,25.0,2025-03-21,0.11507936507936507,-2354.5199046112,610.9991433892867,-10.635454539351288,-37.941072563686724,669600.0000000001,30132000.0,5.0,1.0,4.0,180.0
2025-02-20 11:12:24,26.0,2025-02-21,0.003968253968253968,-48.07240946736834,5.391509860769492,-0.21124691847822877,-0.021390379866524114,0.0,787000.0000000002,0.0,0.0,0.0,5.0
2025-02-20 11:12:24,26.0,2025-03-21,0.11507936507936507,-152.5123391013118,49.638154747651654,-0.7586646227239465,2.3441833701918915,157400.00000000003,4092400.000000001,0.0,2.0,1.0,26.0
2025-02-20 11:12:24,27.0,2025-03-14,0.0873015873015873,35.68376996213289,73.2232757161954,-0.11589447655479064,6.392273737838934,294800.00000000006,0.0,0.0,0.0,2.0,0.0
2025-02-20 11:12:24,27.0,2025-03-21,0.11507936507936507,-1507.2256881926937,197.61871515703282,-6.018276402707756,-22.83909958598827,0.0,16214000.000000004,0.0,45.0,0.0,110.0
2025-02-20 11:12:24,28.0,2025-03-28,0.14285714285714285,-37.99922496814702,11.988601317861677,-0.10589309625355565,-1.7220440968578539,0.0,274800.00000000006,0.0,0.0,0.0,2.0
2025-02-20 11:12:24,28.0,2025-02-21,0.003968253968253968,-55.34759748834365,47.470556612904595,-0.2655069465128736,0.1383251044865686,137400.00000000003,687000.0000000002,1.0,7.0,1.0,5.0
2025-02-20 11:12:24,28.0,2025-03-21,0.11507936507936507,1864.1256608631297,4011.0381516926036,-6.661744447744828,461.57757299497854,14152200.000000004,0.0,10.0,10.0,103.0,1e-10
2025-02-20 11:12:24,29.0,2025-03-21,0.11507936507936507,-1951.6095853295112,203.2247860078028,-6.67091638352746,-23.486887913287873,0.0,15542800.000000004,0.0,5.0,0.0,122.0
2025-02-20 11:12:24,29.0,2025-02-21,0.003968253968253968,2.0633361274033435e-09,3.4900812826784256e-09,-4.938359130399437e-12,1.3848879313673766e-11,0.0,0.0,0.0,0.0,1e-10,0.0
2025-02-20 11:12:24,29.0,2025-02-28,0.031746031746031744,-38.494412452936515,4.896596211561981,-0.12808765082335802,-0.15559580325168385,0.0,254800.00000000006,0.0,1.0,0.0,2.0
2025-02-20 11:12:24,30.0,2025-03-21,0.11507936507936507,-89653.90918600284,16919.61781753575,-309.01474511585974,-156.74568803200793,23832200.000000004,607545000.0000001,1.0,10.0,203.0,5175.0
2025-02-20 11:12:24,30.0,2025-02-21,0.003968253968253968,-77.30287254154709,324.2557805534089,-1.2733472749004053,1.2279645273720428,939200.0000000002,26532400.0,1.0,8.0,8.0,226.0
2025-02-20 11:12:24,30.0,2025-03-07,0.05952380952380952,493.55011392326037,757.0914821859395,-1.4426056254000987,45.06365905536859,2348000.0000000005,0.0,0.0,0.0,20.0,0.0
2025-02-20 11:12:24,30.0,2025-02-28,0.031746031746031744,-269.2669501994639,74.36908467484996,-0.920609911105974,0.19507612249365747,117400.00000000003,1526200.0000000005,0.0,1.0,1.0,13.0
2025-02-20 11:12:24,31.0,2025-02-21,0.003968253968253968,-1667.1056336968618,297.96378197405744,-4.793855716398332,-0.5971145912192499,214800.00000000006,6766200.000000002,1.0,19.0,2.0,63.0
2025-02-20 11:12:24,31.0,2025-03-21,0.11507936507936507,-385.8668416397577,1746.585573298262,-7.279336126490561,169.94871450139095,4510800.000000001,7625400.000000002,0.0,12.0,42.0,71.0
2025-02-20 11:12:24,31.0,2025-02-28,0.031746031746031744,-88.24825585945123,8.138400139516381,-0.2471568093483292,-0.258605191512311,0.0,429600.0000000001,0.0,1.0,0.0,4.0
