gatherdate,strike,expiry,timevalue,gexp,dexp,vexp,cexp,ccash,pcash,call_volume,put_volume,call_oi,put_oi
2025-03-14 14:45:57,543.0,2025-03-18,0.015873015873015872,-1728803.5233286347,25663.02125174946,-600.5644960665512,-407.49217069092214,0.0,94868999.99999978,0.0,2430.0,0.0,498.0
2025-03-14 14:45:57,543.0,2025-03-21,0.027777777777777776,-97112473.28809825,2885071.851855786,-33663.68658171525,-80211.94036183153,0.0,5058536999.999989,0.0,1447.0,0.0,26554.0
2025-03-14 14:45:57,544.0,2025-03-18,0.015873015873015872,-2315839.5888387146,34734.03223325321,-762.1369352728016,-551.5306522236489,0.0,111007499.99999972,0.0,887.0,0.0,615.0
2025-03-14 14:45:57,544.0,2025-03-21,0.027777777777777776,-16517083.48735928,498951.7941144379,-5423.575445900328,-13872.128479210267,0.0,784272499.999998,0.0,2412.0,0.0,4345.0
2025-03-14 14:45:57,545.0,2025-03-17,0.011904761904761904,-12629525.646530213,231282.99271880786,-3922.437650492488,-358.2189716005387,30519499.999999918,643466999.9999983,213.0,17312.0,179.0,3774.0
2025-03-14 14:45:57,545.0,2025-03-18,0.015873015873015872,-6852668.799978387,105695.80803767317,-2129.5891702007925,-1678.3245922345038,0.0,284905499.9999992,0.0,5027.0,0.0,1671.0
2025-03-14 14:45:57,545.0,2025-03-21,0.027777777777777776,-271257932.53876173,14030762.141212443,-108300.86882584859,-139541.50528167444,1584115499.999996,13390899499.999964,1062.0,31829.0,9291.0,78539.0
2025-03-14 14:45:57,545.0,2025-03-19,0.01984126984126984,-9489934.034265138,231166.89819811424,-2976.4149440916467,-3393.0592312052436,9206999.999999976,383965999.999999,91.0,1320.0,54.0,2252.0
2025-03-14 14:45:57,546.0,2025-03-18,0.015873015873015872,-2387107.8631589063,81217.53648313443,-698.304825778314,102.35437677307118,12518999.999999965,86348999.99999976,31.0,799.0,78.0,538.0
2025-03-14 14:45:57,546.0,2025-03-21,0.027777777777777776,-193400664.99829498,6058192.93039659,-56448.764945307004,-168434.83381236097,0.0,7590205499.999978,0.0,2600.0,0.0,47291.0
2025-03-14 14:45:57,547.0,2025-03-18,0.015873015873015872,-4521099.800474558,164426.37148466147,-1240.0329766818124,298.00253151852326,24531499.999999925,141770999.99999955,90.0,2145.0,163.0,942.0
2025-03-14 14:45:57,547.0,2025-03-21,0.027777777777777776,-52895481.54540248,1696713.6500242625,-14473.371889682774,-47173.66697151325,0.0,1884109499.9999945,0.0,2415.0,0.0,12519.0
2025-03-14 14:45:57,548.0,2025-03-18,0.015873015873015872,-4565600.813267619,74741.6490885263,-1169.296595715411,-1186.8366147176496,0.0,124061499.9999996,0.0,2592.0,0.0,883.0
2025-03-14 14:45:57,548.0,2025-03-21,0.027777777777777776,-30765078.111037448,1005567.029594599,-7859.554771358035,-27957.87997709872,0.0,989681999.9999968,0.0,5442.0,0.0,7044.0
2025-03-14 14:45:57,549.0,2025-03-21,0.027777777777777776,-6801361.743187482,646020.519505071,-3309.6615688931433,-1208.4621902456383,87826499.99999969,299366999.999999,30.0,1188.0,673.0,2294.0
2025-03-14 14:45:57,549.0,2025-03-18,0.015873015873015872,-9328968.234343056,320013.9821943005,-2219.524290973859,76.00472083631985,37714499.99999987,219109499.99999925,84.0,1695.0,289.0,1679.0
2025-03-14 14:45:57,550.0,2025-03-20,0.023809523809523808,237831.7771315202,4110322.8656800594,-17128.90703115765,46769.551131457505,818917999.999997,906882999.9999964,247.0,2174.0,6796.0,7526.0
2025-03-14 14:45:57,550.0,2025-03-19,0.01984126984126984,-16139288.713234508,622297.8672463229,-4602.1531054652605,-4874.090000305812,48199999.99999982,405843999.9999985,205.0,5017.0,400.0,3368.0
2025-03-14 14:45:57,550.0,2025-03-18,0.015873015873015872,-17891512.36231781,531678.5873665798,-3932.6970798756265,-1357.7123089691008,47838499.99999982,361981999.9999986,262.0,6809.0,397.0,3004.0
2025-03-14 14:45:57,550.0,2025-03-17,0.011904761904761904,-28506160.893882256,1128171.6047580924,-6258.917044008041,5651.495898645085,171832999.99999934,579845999.9999977,879.0,100120.0,1426.0,4812.0
2025-03-14 14:45:57,550.0,2025-03-21,0.027777777777777776,-418404230.4326237,20841696.701525822,-117020.97329392654,-327109.6111794409,1248741499.9999952,12385230999.999954,1130.0,23757.0,10363.0,102782.0
2025-03-14 14:45:57,551.0,2025-03-17,0.011904761904761904,-8889314.441972304,571420.9741453306,-1790.6398751765996,4290.88523032903,91604499.99999963,149174999.99999937,956.0,23063.0,829.0,1350.0
2025-03-14 14:45:57,551.0,2025-03-18,0.015873015873015872,-3275766.2395654237,58096.41971399474,-660.7412710692606,-922.5465235339105,0.0,56907499.99999977,0.0,1973.0,0.0,515.0
2025-03-14 14:45:57,551.0,2025-03-21,0.027777777777777776,-34172971.92949861,1962767.8769992474,-9668.429717437035,-25476.585908293033,138345999.99999943,954056999.9999961,481.0,1914.0,1252.0,8634.0
2025-03-14 14:45:57,551.0,2025-03-19,0.01984126984126984,-4325709.039676603,103770.20963550611,-872.1067863791312,-2060.1489300074672,0.0,82985499.99999966,0.0,1116.0,0.0,751.0
2025-03-14 14:45:57,552.0,2025-03-21,0.027777777777777776,-19546168.547078125,1947724.5352336236,-7966.258144871184,-8627.053271431847,196678499.9999991,647420999.9999971,323.0,2461.0,1957.0,6442.0
2025-03-14 14:45:57,552.0,2025-03-19,0.01984126984126984,-5266730.742638898,129405.28073492326,-966.8193017236554,-2569.098358334328,0.0,87937499.9999996,0.0,940.0,0.0,875.0
